player_name,team,bye,position,position_rank,adp,consensus_adp,overall_rank
Cam Little,JAC,7.0,K,5.0,131.0,172.8,164
Blake Corum,LAR,11.0,RB,37.0,132.0,106.8,104
Jayden Reed,GB,11.0,WR,47.0,133.0,118.2,117
Jared Goff,DET,6.0,QB,16.0,134.0,120.2,120
Jacory Croskey-Merritt,WAS,7.0,RB,40.0,135.0,114.2,116
Hunter Henry,NE,11.0,TE,19.0,136.0,157.4,155
Quentin Johnston,LAC,7.0,WR,44.0,137.0,107.6,105
Chris Godwin Jr.,TB,10.0,WR,42.0,138.0,98.4,96
KC Concepcion,CLE,11.0,WR,51.0,139.0,131.8,128
Deebo Samuel Sr.,SF,8.0,WR,56.0,140.0,150.2,144
New England Patriots DST   (11),,,DST,7.0,141.0,168.2,160
Baker Mayfield,TB,10.0,QB,17.0,142.0,135.2,130
Romeo Doubs,NE,11.0,WR,49.0,143.0,126.6,126
Kyler Murray,MIN,6.0,QB,18.0,144.0,138.0,133
Eddy Pineiro,SF,8.0,K,7.0,145.0,199.8,186
Woody Marks,HOU,8.0,RB,43.0,146.0,137.6,132
Harrison Butker,KC,5.0,K,9.0,147.0,212.2,189
Zach Charbonnet,SEA,11.0,RB,42.0,148.0,135.0,129
Detroit Lions DST   (6),,,DST,12.0,149.0,193.8,198
Cleveland Browns DST   (11),,,DST,17.0,150.0,222.3,215
Jordan Mason,MIN,6.0,RB,41.0,151.0,120.2,119
Tyler Shough,NO,8.0,QB,19.0,152.0,144.6,138
Keaton Mitchell,LAC,7.0,RB,52.0,152.8,152.8,178
Jake Bates,DET,6.0,K,8.0,154.0,201.6,187
Rashid Shaheed,SEA,11.0,WR,55.0,155.0,146.6,140
Alvin Kamara,NO,8.0,RB,46.0,156.0,147.2,142
Jonah Coleman,DEN,10.0,RB,53.0,156.3,156.3,181
Isiah Pacheco,DET,6.0,RB,47.0,157.0,152.2,147
Jayden Higgins,HOU,8.0,WR,53.0,158.0,138.2,134
Jordan Love,GB,11.0,QB,20.0,159.0,144.8,139
Jalen Coker,CAR,5.0,WR,54.0,160.0,143.0,137
Daniel Jones,IND,13.0,QB,24.0,161.0,192.6,179
Jerry Jeudy,CLE,11.0,WR,62.0,162.0,176.0,168
Kansas City Chiefs DST   (5),,,DST,14.0,163.0,208.5,210
Los Angeles Chargers DST   (7),,,DST,11.0,164.0,196.6,182
Chris Boswell,PIT,9.0,K,15.0,165.0,229.0,221
Tyler Loop,BAL,13.0,K,12.0,166.0,206.0,207
Dylan Sampson,CLE,11.0,RB,54.0,166.0,166.0,188
Austin Ekeler,,,RB,77.0,167.0,167.0,286
Juwan Johnson,NO,8.0,TE,16.0,167.0,150.2,143
Sam Darnold,SEA,11.0,QB,23.0,168.0,187.8,174
Will Reichard,MIN,6.0,K,10.0,169.0,215.0,192
Jacksonville Jaguars DST   (7),,,DST,10.0,170.0,183.0,172
C.J. Stroud,HOU,8.0,QB,22.0,171.0,187.6,173
Stefon Diggs,,,WR,57.0,172.0,151.4,145
Cairo Santos,CHI,10.0,K,11.0,173.0,220.2,195
Malik Willis,MIA,6.0,QB,21.0,174.0,157.0,154
Fernando Mendoza,LV,13.0,QB,27.0,175.0,200.7,227
Brenton Strange,JAC,7.0,TE,17.0,176.0,152.4,148
Terrance Ferguson,LAR,11.0,TE,28.0,177.0,194.7,224
Malik Washington,MIA,6.0,WR,82.0,177.0,177.0,248
Jalen McMillan,TB,10.0,WR,59.0,178.0,170.4,162
Kayshon Boutte,NE,11.0,WR,69.0,178.3,178.3,190
Calvin Ridley,TEN,9.0,WR,65.0,179.0,193.6,180
Cam Ward,TEN,9.0,QB,25.0,180.0,192.3,197
Dallas Cowboys DST   (14),,,DST,19.0,181.0,227.0,220
Tyrone Tracy Jr.,NYG,8.0,RB,44.0,182.0,141.4,135
Braelon Allen,NYJ,13.0,RB,55.0,182.3,182.3,193
Dalton Schultz,HOU,8.0,TE,22.0,183.0,179.8,170
Denzel Boston,CLE,11.0,WR,58.0,184.0,169.4,161
Brian Robinson Jr.,ATL,11.0,RB,50.0,185.0,168.0,158
James Conner,ARI,14.0,RB,56.0,185.0,185.0,194
Green Bay Packers DST   (11),,,DST,13.0,186.0,203.8,203
Tre Tucker,LV,13.0,WR,64.0,187.0,188.4,176
Tank Bigsby,PHI,10.0,RB,51.0,188.0,181.2,171
Bryce Young,CAR,5.0,QB,26.0,189.0,205.5,206
Tyjae Spears,TEN,9.0,RB,49.0,190.0,155.2,152
San Francisco 49ers DST   (8),,,DST,15.0,191.0,221.3,213
Troy Franklin,DEN,10.0,WR,84.0,191.5,191.5,255
AJ Barner,SEA,11.0,TE,24.0,192.0,190.5,196
Chig Okonkwo,WAS,7.0,TE,21.0,193.0,164.6,157
